protocol,seed,held_out,group,count,mean,std,median,q25,q75,min,max,entropy_source
loso,2026,39-1,malicious,12207,0.40829134626016167,0.3532654664972967,0.30526813949910153,0.30526813949910153,0.30526813949910153,1.8747313738619925e-10,1.8342743313002718,probabilities
loso,2026,9-1,known_correct,16491,0.982082670567308,0.3069305689041262,0.9389420046130816,0.9389420046130816,0.9910210301851121,0.16701574052054283,1.9354069280703141,probabilities
loso,2026,9-1,known_incorrect,3509,1.5646495224433796,0.22448386096522063,1.6216993379501632,1.5689546810236588,1.6457840764591862,0.25569650992225057,1.9313157436106319,probabilities
loso,2026,9-1,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
loso,2026,9-1,benign,10000,1.2254355328493185,0.479743325223889,1.4185769746528705,0.9719643720416586,1.629390688111261,0.16701574052054283,1.9354069280703141,probabilities
loso,2026,9-1,malicious,10000,0.9431525166086109,0.0351951657816125,0.9389420046130816,0.9389420046130816,0.9389420046130816,0.9389420046130816,1.7232296308345452,probabilities
pooled,2026,ALL,known_correct,23912,0.06737394380257002,0.12728590653672722,0.008435419599337309,0.00030963986760661996,0.034796837115903256,5.400236884740712e-06,1.320793563554314,probabilities
pooled,2026,ALL,known_incorrect,389,0.4545846704164313,0.3191459912889835,0.35523215961655696,0.24255410536279604,0.7478182411158397,9.420772630275504e-05,1.5747321634663416,probabilities
pooled,2026,ALL,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
pooled,2026,ALL,benign,7286,0.03753784454489468,0.14960323476003287,0.0002785822881959264,9.420772630275504e-05,0.014449616588221512,5.400236884740712e-06,1.320793563554314,probabilities
pooled,2026,ALL,malicious,17015,0.08900255337319678,0.134508731399382,0.008521304768046904,0.002080183840369236,0.1786068972701369,3.332116086209644e-05,1.5747321634663416,probabilities
loso,42,1-1,known_correct,13836,0.044700326422715896,0.12212546948521222,0.0006220160664349233,0.0006220160664349233,0.012213914781190164,2.3937933495534616e-07,0.7320312580522959,probabilities
loso,42,1-1,known_incorrect,6172,0.6071787401772907,0.5768362690032353,0.158963159644789,0.158963159644789,1.357359888863236,0.00018660665933927078,1.6218804819581938,probabilities
loso,42,1-1,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
loso,42,1-1,benign,10000,0.06642665434671174,0.2569427554196886,0.0006220160664349233,0.00024780887863128456,0.0006220160664349233,2.3937933495534616e-07,1.563737631626549,probabilities
loso,42,1-1,malicious,10008,0.369875535300941,0.49875833988179363,0.158963159644789,0.012213914781190164,0.42506895493857333,0.00018660665933927078,1.6218804819581938,probabilities
loso,42,3-1,known_correct,19492,0.12605246831556585,0.2562639166857793,0.02482385770818355,0.014923899061002579,0.2417652788361344,2.8266378300879245e-06,1.466906098021354,probabilities
loso,42,3-1,known_incorrect,1014,0.9997072438629425,0.32509650119441924,1.1381745136233778,1.1381660533833804,1.138180531853478,0.012005918927684246,1.4387981809761172,probabilities
loso,42,3-1,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
loso,42,3-1,benign,4536,0.07495739009136985,0.1755066301131445,0.051320420665927916,0.022286021213359163,0.052768136075269964,6.990970769609767e-06,1.466906098021354,probabilities
loso,42,3-1,malicious,15970,0.19603701541825794,0.34776391607071705,0.02482385770818355,0.014453511016915634,0.24193154738639633,2.8266378300879245e-06,1.3648652770424001,probabilities
loso,42,34-1,known_correct,3529,0.4134300471179777,0.4463198387740327,0.006856165138991867,0.00240997446039867,0.9350669195079084,0.0004298700750503862,1.2394627516250012,probabilities
loso,42,34-1,known_incorrect,5222,1.0895044297880014,0.1178111632812205,1.1401312632688845,1.061576107349695,1.1404395136867462,0.002027911458333853,1.1485851485143255,probabilities
loso,42,34-1,absent_from_train,10000,0.004304603610996648,0.0017413887872553182,0.0042019171699045335,0.0042019171699045335,0.0042019171699045335,0.002237624060460939,0.07670825763204735,probabilities
loso,42,34-1,benign,1923,0.03015282996884174,0.15398947029800938,0.0024100687335007133,0.00043404199868303707,0.005679681509609522,0.0004298700750503862,0.9744726339552607,probabilities
loso,42,34-1,malicious,16828,0.4239035484140819,0.5174770454360714,0.0042019171699045335,0.0042019171699045335,1.061576107349695,0.002237624060460939,1.2394627516250012,probabilities
loso,42,36-1,known_correct,2662,0.04187827134425421,0.08641963635717105,0.007269505619866115,0.007171185914668226,0.010816548329984433,0.0022786939672028474,0.9569984802838202,probabilities
loso,42,36-1,known_incorrect,1,1.1926549608176367,0.0,1.1926549608176367,1.1926549608176367,1.1926549608176367,1.1926549608176367,1.1926549608176367,probabilities
loso,42,36-1,absent_from_train,20003,0.28543392271528734,0.032870722561886424,0.29449171029782417,0.29449171029782417,0.3177110757093272,0.2326579753120142,1.0925014657010954,probabilities
loso,42,36-1,benign,2663,0.04231040678904332,0.08923370279703165,0.007269505619866115,0.007171186160058688,0.010816548329984433,0.0022786939672028474,1.1926549608176367,probabilities
